sale_id,customer_id,product_id,store_id,sale_date,quantity,unit_price,amount
100000,1033,5104,1013,28-12-2025,1,8812.24,8812.24
100001,2525,5117,1027,22-07-2023,2,1751.39,3502.78
100002,2219,5101,1006,10-06-2025,3,7857.29,23571.87
100003,59,5060,1005,16-03-2026,1,10203.81,10203.81
100004,2444,5018,1027,02-04-2025,5,3370.32,16851.6
100005,1646,5097,1011,21-11-2023,1,1342.7,1342.7
100006,2014,5055,1031,20-05-2022,6,8075.0,48450.0
100007,1679,5020,1011,16-11-2022,1,7347.42,7347.42
100008,1997,5018,1028,11-06-2024,2,8698.75,17397.5
100009,568,5007,1016,02-07-2023,8,8288.08,66304.64
100010,2018,5082,1037,03-08-2023,8,5276.3,42210.4
100011,2476,5123,1026,05-02-2026,1,1139.65,1139.65
100012,1350,5075,1027,06-03-2023,1,1748.03,1748.03
100013,543,5123,1008,08-07-2022,8,2352.95,18823.6
100014,2513,5011,1029,03-11-2024,5,1126.84,5634.2
100015,1717,5033,1043,16-02-2023,1,4296.15,4296.15
100016,1163,5059,1008,24-10-2023,5,3250.46,16252.3
100017,2051,5027,1043,22-02-2025,5,8143.03,40715.15
100018,1737,5059,1002,01-03-2025,1,5216.56,5216.56
100019,2331,5023,1036,23-09-2022,2,1549.77,3099.54
100020,551,5026,1042,08-04-2024,4,1747.49,6989.96
100021,2683,5106,1043,13-11-2025,3,9933.64,29800.92
100022,1324,5010,1034,28-06-2021,2,5296.84,10593.68
100023,2609,5080,1018,15-10-2023,4,5855.4,23421.6
100024,157,5103,1027,26-01-2024,1,6017.52,6017.52
100025,1424,5117,1036,12-01-2026,1,3084.62,3084.62
100026,553,5100,1013,30-10-2023,5,7407.03,37035.15
100027,399,5079,1040,02-03-2025,1,1402.77,1402.77
100028,1580,5103,1008,05-07-2024,8,1492.53,11940.24
100029,2715,5099,1013,13-01-2026,2,2991.71,5983.42
100030,1302,5122,1032,18-03-2022,4,2533.38,10133.52
100031,132,5062,1005,04-03-2024,6,2595.44,15572.64
100032,2293,5060,1036,03-08-2021,2,5692.82,11385.64
100033,2833,5033,1011,10-12-2022,2,6819.07,13638.14
100034,1325,5049,1030,17-07-2024,1,8092.88,8092.88
100035,2216,5023,1010,01-04-2023,3,7240.68,21722.04
100036,503,5029,1010,12-12-2025,1,7268.54,7268.54
100037,1144,5020,1021,01-12-2021,3,2237.47,6712.41
100038,1397,5118,1002,31-03-2026,2,7535.92,15071.84
100039,2722,5101,1025,18-07-2022,1,6665.94,6665.94
100040,754,5006,1035,12-06-2022,3,8685.65,26056.95
